username,text,likes,retweets,replies,views,created_at
brubankarg,"¡Somos un banco 24/7 que festeja el 24/7 con ustedes! 

 ¡Este Brubank Day ganá hasta $100.000! 

Desde hoy hasta el 27/7 tus compras con tarjeta participan en nuestra ruedita de promos.

Comprá, girá y ganá 

Ver bases y condiciones 
brubank.com/promociones",27,1,31,0,2021-07-24T15:22:59.000Z
brubankarg,"Llega fin de mes, llegan las cuentas ¿y estás así? ",24,4,27,0,2021-06-29T19:48:24.000Z
brubankarg,"¿Y si te decimos que si depositás tu sueldo en Brubank podés duplicarlo, y estar así?",8,3,7,0,2021-06-29T19:48:30.000Z
brubankarg,"A partir de hoy, si depositás tu sueldo en Brubank, ¡podés ganarte un  SUELDO EXTRA !

Cobrá, girá y ganá 

Ver bases y condiciones en 
brubank.com/promociones",7,3,7,0,2021-06-29T19:48:33.000Z
brubankarg," ¡Participá por $100.000! 

Te recordamos que todos tus pagos de servicios desde la app, mayores a $200, participan por grandes premios.

¡Buscá tu servicio, pagalo en segundos y participá en la ruedita de promos!  

Ver bases y condiciones 
brubank.com/promociones",20,0,5,0,2021-05-12T18:00:49.000Z
brubankarg,"¡No te quedes sin datos! 

Recargá tu celular desde nuestra app y participá por $100.000 

Recordá que hasta el 15 de mayo todos tus pagos de servicios desde la app participan por grandes premios 

Ver bases y condiciones
brubank.com/promociones",9,1,3,0,2021-05-08T15:35:04.000Z
brubankarg, ¡Hola! ¿Están? Tenemos una noticia.,68,3,14,0,2021-05-06T20:19:31.000Z
brubankarg,"¡Que pagar tus servicios no sea un bajón! Tenés hasta el 15 de mayo para pagar desde la app y participar por $100.000  
Ver bases y condiciones en 
brubank.com/promociones",46,2,6,0,2021-05-06T20:19:41.000Z
brubankarg,"¡Primer día de la promo y salió el primer premio de $100.000!

¿Quién va a ser el próximo ganador? ",29,6,13,0,2021-05-07T01:39:12.000Z
brubankarg,¿Estás así porque tenés que pagar todos tus servicios?,12,0,2,0,2021-05-06T20:19:34.000Z
brubankarg,"Que Brubank te acompañe

#MayThe4thBeWithYou",98,7,9,0,2021-05-04T21:52:46.000Z
brubankarg,"Thanks for watching Episode 11!
From the school hallway where Hikaru suddenly changed and ran away… to so many other shocking moments.
Tell us — which part was your favorite?",0,282,28,603000,
brubankarg,"Pagá el servicio que quieras, girá la ruedita de promos ¡y ganá! 

Hasta el 15 de abril todos tus pagos de servicios mayores a $200 participan por premios instantáneos 

Ver bases y condiciones
brubank.com/promociones",18,1,12,0,2021-04-09T19:03:08.000Z
brubankarg,¿Qué servicio vas a pagar para girar la ruedita? ,19,0,25,0,2021-04-08T19:40:11.000Z
brubankarg,Si cada vez que llega la factura de tus servicios te ponés así ,14,1,3,0,2021-04-07T19:24:11.000Z
brubankarg,"Desde hoy hasta el 15 de abril pagá tus servicios desde la app ¡y participá por $100.000! 

Ver bases y condiciones 
brubank.com/promociones",17,2,6,0,2021-04-07T19:25:08.000Z
brubankarg,"Y si ganás $100.000 por Brubankear, ¿como festejarías? ",8,1,6,0,2021-04-07T19:25:29.000Z
