username,text,likes,retweets,replies,views,created_at,best_trend,trend_similarity,best_trend_position
uala_arg,"Durante todo mayo si pagás el subte desde tu celu o reloj inteligente con tu Tarjeta Prepaga integrada a Google PayTM o Apple PayTM, tenés hasta 100% de reintegro en todos tus viajes. ¡Podés ahorrar hasta $20.000! 

En mayo sólo preocupate por conseguir asiento en el subte .",4,1,5,3000,2025-05-06T16:08:37.000Z,,0.0,
uala_arg,"La luz azul que salía de la cancha era porque si pedís gratis tu Tarjeta de Crédito desde la app, no pagás costos de mantenimiento .  No tengo pruebas, pero tampoco dudas.",124,3,23,7000,2025-05-05T21:06:58.000Z,,0.0,
uala_arg,"Tu Cuenta Remunerada si cobrás con Ualá Bis en tu negocio:
 Más fuerte, más rendidora.",10,2,5,3000,2025-05-05T20:37:03.000Z,,0.0,
uala_arg,"si cobrás con Ualá Bis en tu negocio y llegás a los $1.500.000 de facturación este mes, el mes que viene tu Cuenta Remunerada sube 5 puntos. ",2,1,4,2000,2025-05-05T20:37:41.000Z,,0.0,
uala_arg,"Además, tenés comisiones bajas en serio, podés aceptar todas las tarjetas y recibir tu plata al instante.

Todo sin que tengas que levantar un dedo (más que para cobrar).",2,1,1,2000,2025-05-05T20:38:33.000Z,,0.0,
uala_arg,"Mejor estirá tu dineeero en la app 

Podés invertir en el FCI Ahorro Dólar ¿Ya lo probaste?",12,1,23,4000,2025-04-24T19:12:39.000Z,,0.0,
uala_arg," Rendimiento de CEDEARs
Las principales caídas fueron en minería y tecnología: HUT 8 Mining (-18.1%), Satellogic (-16.1%), Microstrategy (-15.6%), Tesla (-13.3%) y Bitfarms (-11%). Meta Platforms destaca como CEDEAR de la semana con un rendimiento anual positivo del 22.9% y una",2,1,3,4000,2025-04-08T18:57:15.000Z,,0.0,
uala_arg," Rendimiento de acciones
El mercado argentino experimentó fuertes caídas, destacando Supervielle (-19.3%), Comercial del Plata (-18.8%), YPF (-17.1%), TGN (-14.3%) y TGS (-14.3%). Las acciones más operadas fueron YPF, Galicia, Pampa, Macro y Supervielle.",2,0,1,3000,2025-04-08T18:57:16.000Z,,0.0,
uala_arg,"Comportamiento de bonos y tasas 
Las curvas de rendimiento muestran tasas de LECAPs/BONCAPs entre 30% y 45% en pesos, mientras los bonos en dólares ley extranjera (GD) presentan rendimientos entre 13.09% y 15.20%, con el GD30 ofreciendo la mayor tasa. Los bonos en dólares ley",3,2,3,2000,2025-04-08T18:57:16.000Z,,0.0,
uala_arg,"Resumen semanal de mercados, donde hablamos de #FinanzasPeroFácil.  Desde Aula Ualá, te traemos lo más relevante de las finanzas y mercados locales e internacionales, explicado en un solo hilo ",3,1,1,2000,2025-04-08T18:57:13.000Z,,0.0,
uala_arg," Mercado argentino
El nuevo acuerdo con el FMI generó expectativas de una salida del cepo cambiario, aunque el gobierno intenta desmentirlo. La inflación de marzo parece incrementarse respecto al mes anterior, situándose entre 2.6% y 2.9%.",1,0,2,1000,2025-04-08T18:57:14.000Z,,0.0,
uala_arg," Mercado internacional
Los aranceles recíprocos anunciados causaron ventas masivas por su impacto económico. Los inversores buscaron refugio en bonos del tesoro de EEUU a 10 años como alternativa segura ante la volatilidad.",0,0,1,1000,2025-04-08T18:57:14.000Z,,0.0,
