following_username,following_name,count
@Santi_Bruno22,Santi,1
@Santiravera,Santiago,1
@TuckerGringo,El Tuca,1
@UNoticias,Últimas Noticias,1
@Liberal080706,LiberalLegislativo,1
@agusantonetti,Agustín Antonetti,1
@agusnava1307,Agus,1
@aguspadillauy,Agus Padilla,1
@agusteruelo21,Agus Teruelo,1
@ahorrandoclick1,Ahorrando Clickbaits,1
@albertocavallo,Alberto Cavallo,1
@aleberco,Alejandro Bercovich,1
@aleprietoo_,Ale Prieto,1
@alfleuco,Alfredo Leuco,1
@allinargy,Cap. Ace McCloud,1
@amante_pareja,pareja amante al sexo,1
@anacaro46679024,ana carol,1
@anarios2112,Anita,1
@andevillamarin,Andrés Villamarín Espinel,1
@andreselopeze,Andrés López E.,1
@antena3com,Antena 3,1
@arg_endatos,Argentina en Datos,1
@arielsbdar,Ariel Sbdar,1
@agusdababy,agus,1
@aguerosergiokun,Sergio Kun Aguero,1
@Un_mundo_otaku,Mundo Otaku,1
@agostini____,Agostini,1
@UriosAnibal,Anibal Urios,1
@Urruchurtu,Pedro Urruchurtu Noselli,1
@ValeRivadeneir4,valentina,1
@Valeia013_,Val Leguizamón,1
@Vanina91076678,Vanina,1
@VaticanNews,Vatican News,1
@Vickymartin1000,Vicky Martin,1
@VyGTalleres,Viejo Y Glorioso Talleres,1
@WSOP,WSOP - World Series of Poker,1
@Yamilapuscama1,Yami,1
@_DeepPurple,Deep Purple,1
@_alvarogonzalez,Álvaro González,1
@4uf_wiedersehen,Aufie,1
@_gggeno,Genoveva,1
@abc_es,ABC.es,1
@afa,AFA,1
@agospalazzolo,ardi bum,1
@RPN_Oficial,Revolución Popular,1
@RADIOZONICA,#RadioZonica #Zonica,1
@Pulujv,Matías,1
@MariaEmiliaOro,Maria Emilia Orozco,1
@Marirusso1979,Marie Russo,1
@MartinUribeEcon,Martin Uribe,1
@MarucMc,Maru,1
@MashiRafael,Rafael Correa,1
@MateoSfeir,Mateo,1
@MatiasSchrank,Matías Schrank,1
@MedioRiver,Medio River,1
@MemeMinistro,Sr. Ministro,1
@MichelGuilleOK,Guillermo Michel,1
@MinGobiernoEc,Ministerio de Gobierno Ecuador,1
@MrJuanDoe,Juan Doe,1
@MundoChaca,Mundo Chacarita,1
@MundoEConflicto,Mundo en Conflicto,1
@Mundo__Paisajes,Paisajes del Mundo,1
@MzaDGE,DGE Mendoza,1
@NANCYPAZOS,@NANCYPAZOS,1
@NBALatam,NBA Latam,1
@Mariolugones_ar,Mario Lugones,1
@MariaCorinaYA,María Corina Machado,1
@PrimeraPlanaECU,PrimeraPlanaECU,1
@MariaCa00503855,MariaCabrera,1
@LigaAFA,Liga Profesional de Fútbol,1
@LisandrMartinez,Lisandro Martinez,1
@LucaSartorio,Luca Sartorio,1
@Luis_bullrich,Lucho Bullrich,1
@LuisaGonzalezEc,Luisa González,1
@Luisa__Nino,Luisa,1
@LukiGrimson,Luki Grimson,1
@LuquitaRodrigue,Luis Luis Pichin,1
@MGEstevarena,Marilú González Estevarena,1
@MInterior_AR,Ministerio del Interior,1
@M_pacifista,M,1
@MaariAparicio,𝓜𝓪𝓻𝓲𝓪,1
@MagaSoria,Mugumu,1
@MaggeDelbene,Magge Fromgood,1
@MainCaucus,Republican Main Street Caucus,1
@Manolo22052015,Arturo Pereira,1
@Marcelo_MM2023,MARCELO,1
@NFL,NFL,1
@NTN24,NTN24,1
@NTN24ve,NTN24 Venezuela,1
@NYGBertie,Bertie Benegas Lynch,1
@PalanqueroDLR,Palanquero,1
